name,Company_umbrella,Company,Location,job,type,text,title
Herr Dipl.-Ing. Jan Hansmann,Frauenhofer LBF,Institut für Betriebsfestigkeit und Systemzuverlässigkeit,64289 Darmstadt,studentische Hilfskraftstelle,Arbeitsgruppe,,
Frau Diana Pauli,hidden professionals GmbH,Kaiserstraße 39,55116 Mainz,studentische Aushilfestelle,Firma,,
Herr Dirk Günther,Optomet GmbH,Pfungstädter Straße 92,64297 Darmstadt,Werkstudentstelle,Firma,,
Frau Jasmin Sand,Frauenhofer LBF,Institut für Betriebsfestigkeit und Systemzuverlässigkeit,64289 Darmstadt,studentische Hilfskraftstelle,Arbeitsgruppe,,
Frau Julia Schütz,Pickware GmbH,Goebelstraße 21,64293 Darmstadt,Werkstudentstelle,Firma,,
Frau Anne Zöll,Technische Universität Darmstadt,Software & Digital Business,64283 Darmstadt,studentische Hilfskraftstelle,Arbeitsgruppe,,
Dr.-Ing. Tobias Meudt,Technische Universität Darmstadt,Projektunterstützung für Digitalisierung & Lean Management,"Institut für Produktionsmanagement, Technologie und Werkzeugmaschinen",HiWi-stelle,Arbeitsgruppe,,
Markus Schreiber,Technische Universität Darmstadt,Forschung und Projektarbeit in der digitalen Produktion,PTW,HiWi-stelle,Arbeitsgruppe,,
"Josef Schönherr, M. Sc.",Technische Universität Darmstadt,BauteilfestigkeitMPA-IfW,MPA-IfW,studentische Hilfskraftstelle,Arbeitsgruppe,,
"Astrid Weyand, M. Sc.",Technische Universität Darmstadt,ETA-Fabrik,PTW,HiWi-stelle,Arbeitsgruppe,,
"Lukas Theisinger, M. Sc.",Technische Universität Darmstadt,Forschungsgruppe ETA,PTW,HiWi-stelle,Arbeitsgruppe,,
Sebastian Bardy,Technische Universität Darmstadt,PTW,ML im digitalen Shopfloormanagement,HiWi-stelle,Arbeitsgruppe,,
Mahmoud Alhalayka,Technische Universität Darmstadt,"Institut für Produktionsmanagement, Technologie und Werkzeugmaschinen",PTW,HiWi-stelle,Arbeitsgruppe,,
"MichaelHeinz,M.Sc.",Technische Universität Darmstadt,Fachgebiet Technische Thermodynamik,TTD,HiWi-stelle,Arbeitsgruppe,,
"Steffen Meiniger, M.Sc.",Technische Universität Darmstadt,Additiven Fertigung,PTW,HiWi-stelle,Arbeitsgruppe,,
"Benedikt Grosch, M.Sc.",Technische Universität Darmstadt,ETA-Fabrik,PTW,HiWi-stelle,Arbeitsgruppe,,
"Pascal Menner, M.Sc",Technische Universität Darmstadt,FSR,Darmstadt,HiWi-stelle,Arbeitsgruppe,,
"Saleh Krüger, M.Sc.",Technische Universität Darmstadt,FSR,Darmstadt,HiWi-stelle,Arbeitsgruppe,,
M.Sc. Thomas Weber,Technische Universität Darmstadt,ETA-Fabrik,PTW,HiWi-stelle,Arbeitsgruppe,,
"Visheet Arya, M. Sc.",Technische Universität Darmstadt,Institut für WerkstoffkundeZentrum für Konstruktionswerkstoffe,Institut für Werkstoffkunde,studentische Hilfskraftstelle,Arbeitsgruppe,,
Christian Urnauer,Technische Universität Darmstadt,Prozesslernfabrik CiP,"Institut für Produktionsmanagement, Technologie und Werkzeugmaschinen",HiWi-stelle,Arbeitsgruppe,,
Konstantin Hossfeld,Technische Universität Darmstadt,Forschungsgruppe CiP – Team Machine Learning,"Institut für Produktionsmanagement, Technologie und Werkzeugmaschinen",HiWi-stelle,Arbeitsgruppe,,
"Lu Liu, M.Sc",Technische Universität Darmstadt,Fachgebiet für Strömungslehre und Aerodynamik,64347 Griesheim,HiWi-stelle,Arbeitsgruppe,,
Phillip Bausch,Technische Universität Darmstadt,Raum: L1|01-113,PTW,HiWi-stelle,Arbeitsgruppe,,
Dr. Saskia Biehl,Leitung Ultraleichtbau,Institut für Betriebsfestigkeit und Systemzuverlässigkeit ,Frauenhofer LBF,studentische Hilfskraftstelle,Arbeitsgruppe,,
a,a,a,a,a,Arbeitsgruppe,,
